team,archetype,ppda,possession_pct,pass_directness,defensive_line_height,dribbles_per90,counter_attack_speed,progressive_passes_per90,crosses_per90,shots_open_play_pct,high_turnovers_per90,rank_ppda,rank_possession_pct,rank_pass_directness,rank_defensive_line_height,rank_dribbles_per90,rank_counter_attack_speed,rank_progressive_passes_per90,rank_crosses_per90,rank_shots_open_play_pct,rank_high_turnovers_per90
North Macedonia,Wing-Play Focused,3.301,43.3503,0.1563,0.2144,30.3404,10.707,152.9363,13.396,94.8718,24.2868,41,32,15,45,53,48,8,8,33,56
Osasuna,Deep-Block Counter,3.7989,29.1269,0.2248,0.1859,15.804,8.6386,185.8009,27.1553,100.0,14.2293,55,5,63,10,3,30,29,59,59,13
Poland,Wing-Play Focused,3.1771,42.8703,0.1873,0.1926,19.7616,11.2549,190.8553,23.3648,94.4444,22.6094,36,28,47,17,14,53,35,51,31,50
Portugal,High-Press Possession,2.7185,57.9855,0.1608,0.2217,24.6724,8.1124,218.3417,22.0746,90.9819,22.4367,27,60,18,54,38,26,53,47,18,49
Qatar,Individual Flair,4.6593,43.1207,0.1584,0.2101,20.6361,10.1765,166.9669,17.5133,100.0,15.2113,62,30,17,37,17,40,17,28,59,16
Real Betis,Individual Flair,3.8058,41.7489,0.1453,0.1945,22.2656,10.6314,156.3205,15.7759,94.2711,13.1799,56,25,5,21,29,45,10,18,28,9
Real Madrid,Wing-Play Focused,2.3759,44.6456,0.1719,0.1939,31.3888,11.9307,184.4245,28.8384,93.2433,21.5492,12,37,25,20,57,56,28,62,24,46
Real Sociedad,Wing-Play Focused,2.461,43.9084,0.1477,0.2117,27.317,10.641,177.6086,13.9714,99.1228,18.4836,16,34,7,41,50,46,23,10,53,32
Real Valladolid,Direct Long-Ball,3.7289,38.0636,0.1761,0.2042,26.996,10.5665,183.3677,20.8697,92.6994,16.0246,54,19,34,30,48,43,27,43,21,20
Russia,Direct Long-Ball,3.1483,41.8061,0.1991,0.2197,20.2454,7.4785,213.4212,20.8097,87.7778,16.1746,35,26,53,51,15,18,51,42,6,22
Saudi Arabia,Direct Long-Ball,2.7111,44.4586,0.2169,0.203,22.1277,,188.1781,13.5988,92.7451,18.2379,26,35,62,27,27,62,32,9,22,29
